RSOCFO,FAMILLE,SOUS FAM,NARTAR,LARTAR,NBPCVL,PVTCPJ,STOCK,QTE EN CDE,GPV HH (30),GPV SU PL (130),GPV SU DJIBI (235),GPV HU (302),ASTEN HCP (230),QTE,ARTICLE
U ENSEIGNE MDD,CHAUSSETTE,BEBE,100598151,MI CHO7 G 24/26 UPET 4789353 CIEL/M,4,3690,0,0,,,,,,,
U ENSEIGNE MDD,930,101,100627993,BOXER*3 H UESS NR/GS/PN T2 6116595,3,11250,0,0,,,,,,,
U ENSEIGNE MDD,930,101,100627996,BOXER*3 HOM T5 UESS NR/GS/PRUNE U,3,11250,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,BEBE,100670607,MI CHO7*5 GARCON PMINI ASS 21/23,8,2690,4,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,BEBE,100670608,MI CHO7*5 GARCON PMINI ASS 24/26,8,3490,40,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,BEBE,100670609,MI CHO7*5 FILLE PMINI ASS 18/20,8,2690,0,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,BEBE,100670611,MI CHO7*5 FILLE PMINI ASS 24/26,8,3490,40,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100469805,MI CHO7*5 ENF BC 27/30 7244410 MBLC,8,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100469807,MI CHO7*5 ENF 31/35 BC 7244750 MBLC,8,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100469809,MI CHO7*5 ENF 36/40 7244771 BC MBLC,8,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100469845,MI CHO7*5 ENF 27/30 7302570 MBLC U,8,3490,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100469847,MI CHO7*5 ENF 31/35 7302650 MBLC U,8,3490,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100469848,MI CHO7*5 ENF 36/40 7302670 MBLC U,8,3490,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100489351,CHO7*3 INV BOUCL ENF 31/35 4554299,1,3650,24,24,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100489374,CHO7*4 FILL INV 31/35 UCOL 4845094,8,4700,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100508931,CHO7 INV*4 G UESS 27/30 ASS 5167490,1,4590,0,56,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100509731,CHO7 INV*3 GAR UESS 31/35 5167730 U,1,4500,24,32,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100509823,CHO7 INV*4 G UESS 36/40 ASS 5167790,1,4490,21,32,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100509843,CHO7 INV*5  MBLC 31/35 ASS 7303952,4,3100,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100509845,CHO7 INV*5 MBLC 36/40 ASS 7303970 U,4,3100,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100512951,MI-CH.GAR UESS ASS 36/40 X4,8,5600,24,56,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100512952,MI-CHO7*4 G UESS 31/35 5168172 ASST,24,5600,12,32,,,,,,,
U ENSEIGNE MDD,910,104,100628027,SHORT HOMME MBLC NOIR S   4884535,3,7190,0,0,,,,,,,
U ENSEIGNE MDD,910,104,100628028,SHORT HOMME MBLC NOIR M   4884553,3,7190,0,0,,,,,,,
U ENSEIGNE MDD,910,104,100628029,SHORT HOMME MBLC NOIR L   4884575,3,7190,0,0,,,,,,,
U ENSEIGNE MDD,910,104,100628030,SHORT HOMME MBLC NOIR XL  4884594,3,7190,0,0,,,,,,,
U ENSEIGNE MDD,910,104,100628031,SHORT HOMME MBLC NOIR XXL  4884616,3,7190,0,0,,,,,,,
U ENSEIGNE MDD,920,103,100628032,COUPE-VENT ADLT UOXY NR XS 5373910,4,13950,0,0,,,,,,,
U ENSEIGNE MDD,920,103,100628033,COUPE-VENT ADLT UOXY NR S   5373930,4,13950,0,0,,,,,,,
U ENSEIGNE MDD,920,103,100628034,COUPE-VENT ADLT UOXY NR L   5373971,4,13950,0,0,,,,,,,
U ENSEIGNE MDD,920,103,100628035,COUPE-VENT ADLT UOXY NR XL  5373991,4,13950,0,0,,,,,,,
U ENSEIGNE MDD,920,103,100628036,COUPE-VENT ADL UOXY NR XXL  5374010,4,13950,0,0,,,,,,,
U ENSEIGNE MDD,930,102,100628037,PYJ ML HOM MBLC GR CH/NR S  4872995,4,14250,0,0,,,,,,,
U ENSEIGNE MDD,930,102,100628038,PYJ ML HOM MBLC MRN S 4873093,4,14250,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100530587,MI CHO7*3 ENF UOXY 31/35 BC 5203890,12,4050,15,15,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100539473,INV*4 SPORT 31/35 UOXY BLC 2696873,1,3850,19,32,,,,,,,
U ENSEIGNE MDD,930,102,100628042,PYJASH HOM MBLC GR/NR S  4873414,4,11900,0,0,,,,,,,
U ENSEIGNE MDD,930,102,100628043,PYJASH HOM MBLC MARINE S  4873515,4,11900,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100539475,INV*4 SPORT 27/30 UOXY BLC 2696832,1,3850,16,32,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100581668,CHO7*4 INV FIL ASS  T27/30 2696372,1,4590,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100581670,CHO7*4 INV FILL ASS T36/40 2696430,1,4590,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100597982,MI CHO7*4 ENF 27/30 4946574 UCOL MD,4,4990,0,24,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100597986,MI CHO7*4 ENF 27/30 4946515 UCOL MR,4,4990,24,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100597992,MI CHO7*4 ENF 31/35 UCOL 4946532 MR,8,4990,24,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100598218,MI-CH.GAR UCOL REQUINS 31/35X4,8,5350,32,0,,,,,,,
U ENSEIGNE MDD,860,106,100628061,DORS B FILL MBLC ROSE CL 1M 1375755,5,6590,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100598226,MI-CH.U.COL GRS/BL/RGE 31/35X4,8,5450,24,48,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100598296,SOCQUET.*3 ENF 31/35 UOXY 2809252 B,4,4790,24,16,,,,,,,
U ENSEIGNE MDD,860,106,100628065,DEB BB G. MBLC BL CL 1M 1376016 MDD,5,6590,0,0,,,,,,,
U ENSEIGNE MDD,840,102,100628066,DORS B G 3M MBLC BL CL 1376035 MDD,5,6590,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100670612,MI CHO7*5 ENFANT PMINI ASS 27/30,8,4290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100670613,MI CHO7*5 ENFANT PMINI ASS 31/35,8,6390,40,0,,,,,,,
U ENSEIGNE MDD,900,104,100628075,BIG TEE FEM MBLC GRIS 38/40 4870373,4,9490,0,0,,,,,,,
U ENSEIGNE MDD,900,104,100628076,BIG TEE F MBLC GRIS 42/44 4870453,4,9490,0,0,,,,,,,
U ENSEIGNE MDD,900,104,100628077,BIG TEE FEM MBLC GRIS 46/48 4870474,4,9490,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100682898,SOCQ.*3 ENF 36/40 OXY NR MDD,8,4790,16,16,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100682905,M CHO7*5 GARC 18/20 PMINI ASS MDD,8,3350,32,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100682906,M CHO7*5 GARC 21/23 PMINI ASS MDD,8,3350,32,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100682910,M CHO7*5 ENF 36/40 PMINI ASS MDD,8,6390,24,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100682912,CHO7 INV*5 ENF 31/35 PMINI ASS MDD,8,3100,0,24,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100682913,CHO7 INV*5 ENF 36/40 PMINI ASS MDD,8,3100,0,24,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100713370,MI-CH.ENF U.ESS ASS25 27/30 X4,8,5290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100713371,MI-CH.ENF U.ESS ASS25 31/35 X4,8,5290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100713373,MI-CH.U.COL GRS/BL/RGE 36/40X4,8,5450,24,24,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100713374,MI-CH.GAR UCOL REQUINS 36/40X4,8,5350,32,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100713375,MI-CH U.COL GRIS 22 T36/40 X4,8,5350,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,ENFANT,100713376,MI-CH FILLE PMINI ASS 21/23 X5,8,3350,32,32,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100469811,CHO7 INVIS*5 FEM 37/41 7247791 MBLC,8,3190,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100524837,MI-CHO7*4 36/40 UCOL NR/BC 6980653,1,5390,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100530051,INVISIBLE*3 F UESS 39/41 BC 6999691,12,3690,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100530212,INVISIBLE*3 F 39/41 UESS NR 6983833,12,4250,6,0,,,,,,,
U ENSEIGNE MDD,820,103,100651232,TONGS FEM U.COL T36 MARINE 7377830,3,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100581671,CHO7*3 PIED FEM NR T35/38 6999214,1,4100,0,0,,,,,,,
U ENSEIGNE MDD,820,103,100651236,TONGS FEM U.COL T39 MARINE  7377910,3,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100598244,CHO7 INV SPORT F 35/38 UOXY 4911753,8,4750,1,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,FEMME,100718738,CHO7 INV.*5 FEMME PMINI NOIR 37/41,8,2900,0,24,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100469813,MI CHO7*5 H 39/42 7248831 MBLC U BC,8,5100,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100469828,MI CHO7*5 H 43/46 7248851 MBLC U NR,8,5100,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100469830,MI CHO7*5 H 39/42 7248991 MBLC BC U,8,3450,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100469833,MI CHO7*5 H 43/46 7249010 MBLC BC U,8,3450,0,0,,,,,,,
U ENSEIGNE MDD,900,101,100651297,SLIP*3 CO BIO UC. RS 36/38  1459475,3,7390,0,0,,,,,,,
U ENSEIGNE MDD,900,101,100651298,SLIP*3 CO BIO UC. RS 40/42  1459493,3,7390,0,0,,,,,,,
U ENSEIGNE MDD,900,101,100651299,SLIP*3 CO BIO UCOL RS 44/46 1459515,3,7410,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100469837,CHO7 INVIS*5 H 43/46 7249150 MBLC U,8,3430,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100508900,MI-CHO7*2 H UESS ANTH 43/46 4389783,10,6290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100508947,MI CH07*2 H 43/46 NR 4389174 UESS U,10,6290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509039,CHO7 INV*5 H 39/42 MBLC 7249110 NR/,8,3400,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509584,MI CHO7 HOM UESS ANTH.39/42 4389761,10,6290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509703,MI CHO7*2 H 39/42 4840160 UESS MRN,2,6290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509705,PROT-PIED HOM UESS 43/46 BLCX2,8,2850,24,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509730,CHO7 INV*3 UOXY 43/46 BLC 4560256 U,1,3850,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509732,PROT-P*2 HOM UESS 39/42 2528350 BLC,1,2890,24,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509733,CHO7 INV*3 H UESS 39/42 5210171 NR,10,4250,0,0,,,,,,,
U ENSEIGNE MDD,900,101,100651321,TANGAS*2 DENT.MBLC ASS PE23 36/38,6,4100,0,0,,,,,,,
U ENSEIGNE MDD,900,101,100651322,TANGAS*2 DENT.MBLC ASS PE23 40/42,6,4100,0,0,,,,,,,
U ENSEIGNE MDD,900,101,100651323,TANGAS*2 DENT.MBLC ASS PE23 44/46,6,4100,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509739,CHO7 INV*3 UOXY 39/42 NR 4559738 U,1,3850,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509741,CHO7 INV*3 UOXY 43/46 4559916 NR U,1,3850,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509763,MI CHO7*2 UESS HOM 39/42 4389131 NR,10,6290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509794,MI CHO7*2 H 43/46 MRN 4840261 UESS,10,6290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100509837,CHO7 INV*3 HOM UESS 39/42 5210812 U,1,4250,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100510528,MI CHO7*5 HOM MBLC NR 39/42 5193091,8,3450,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100510562,MI CHO7*5 HOM MBLC 43/46 5193110 NR,1,3450,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100512758,MI-CHO7*5 FSIE MBLC 31/35 7303271,1,4590,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100512761,MCHO7*5 FSIE MB.43/46 GR/NR 7304650,1,5550,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100512764,MCHO7*5 FSIE MBLC 27/30 ASS 7303231,1,4590,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100512778,MI CHO7*5 FTSI.H 39/42 G/NR 7304630,1,5550,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100525890,MI CHO7*3 H UESS 43/46 MRN 4368464,10,5090,0,50,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100525891,MI CHO7*3 H UESS UNI 39/42 4368420,10,5090,0,50,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100525892,MI CHO7*3 H UESS UNI 43/46 4368053,1,5090,0,50,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100530213,MI CHO7*3 H UOXY 39/42 BC 5207050 U,12,4490,2,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100530222,MI CHO7*3 H UOXY 43/46 BC 5207070 U,12,4490,2,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100530568,MI-CH HOM SPORT UOXY 39/42 NR X3,5,4490,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100530571,MI-CH HOM SPORT UOXY 43/46 NR X3,5,4500,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100530573,MI CHO7*3 HOM UOXY 43/46 5207032 GS,12,4490,2,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100530574,MI CHO7*3 H UOXY 5207011 39/42 GS,12,4490,10,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100560545,CHO7 INV*4 SPORT H 43/46 2745671 BC,10,4290,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100560548,CHO7 INV*4 SPORT H 43/46 2745711 NR,10,4290,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100560549,CHO7 INV*4 SPORT H 43/46 2745751 GS,10,4290,40,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100581675,MI CHO7*2 HOM NR T39/42 4519795,1,4400,0,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100597936,CHO7*3 INV 39/42 2779073 UOXY GRIS,5,3850,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100597941,CHO7*3 INV H 43/46 UOXY 2779112 GRI,5,3850,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100597967,MI CHO7*4 H UESS 39/42 2772552 MARI,10,5850,20,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100597969,MI CHO7*4 H UESS 39/42 2772575 MARI,10,5850,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100598252,PROTEGE PIEDS*2 H 39/42 3942490 UES,5,2850,32,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100598257,PROTEGE PIEDS*2 H 43/46 3942530 UES,4,2850,40,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100598313,SOCQUET.SPORT*4 H 39/42 2703832 UOX,5,4590,20,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670591,MI-CHO7*4 HOM U.ESS NOIR T39/42,10,5850,22,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670592,MI-CHO7*4 HOM U.ESS NOIR T43/46,10,5850,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670593,MI-CHO7*4 HOM U.ESS GRIS T39/42,10,5850,0,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670594,MI-CHO7*4 HOM U.ESS GRIS T43/46,10,5850,0,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670598,MI-CHO7*5 HOM PMINI NOIR 39/42,8,3290,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670599,MI-CHO7*5 HOM PMINI NOIR 43/46,8,3290,12,0,,,,,,,
U ENSEIGNE MDD,870,102,100670545,SLIP*6 GARC 2/3A PMINI ENGLISH,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,102,100670546,SLIP*6 GARC 4/5A PMINI ENGLISH,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,102,100670547,SLIP*6 GARC 6/8A PMINI ENGLISH,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670600,CHO7 INV*5.HOM PMINI BLANC 39/42,8,3290,40,0,,,,,,,
U ENSEIGNE MDD,870,102,100670549,SLIP*6 2/3A PMINI SKATE 5152875,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,102,100670550,SLIP*6 GARC 4/5A PMINI SKATE 515289,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,102,100670551,SLIP*6 GARC 6/8A PMINI SKATE,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670602,MI CHO7*2 HOM UESS MRNE/ANTH 39/42,10,6150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670603,MI CHO7*2 HOM UESS MRNE/ANTHR 43/46,10,6150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670604,MI CHO7*2 HOM UESS NOIR/NOIR 39/42,10,6150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100670605,MI CHO7*2  HOM UESS NOIR/NOIR 43/46,10,6150,4,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100682902,CHO7 INV*3 HOM 43/46 UESS ASS GRIS,10,4450,0,30,,,,,,,
U ENSEIGNE MDD,840,103,100670563,BODY*3 3M PMINI LAPIN 5203372 U,4,9550,0,0,,,,,,,
U ENSEIGNE MDD,840,103,100670564,BODY*3 6M PMINI LAPIN 5203415 U,4,9550,0,0,,,,,,,
U ENSEIGNE MDD,840,103,100670565,BODY*3 BB 12M PMINI LAPIN 5203434 U,4,9550,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670566,SLIP FILL 2/3A PMINI RAYURE 5155516,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670567,SLIP FILL 4/5A PMINI RAYURE 515554,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670568,SLIP FILL 6/8A PMINI RAYURE 5155575,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670569,SLIP FILL 10/12A PMINI RAYURE U,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670570,SLIP FILL 2/3A PMINI TROPICAL U,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670571,SLIP FILL 4/5A PMINI TROPICAL U,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,870,101,100670572,SLIP FILL 6/8A PMINI TROPICAL U,6,6150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713359,MI-CH HOMME U.OXY NOIR 39/42X2,6,2790,36,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713362,MI-CH HOMME U.OXY NOIR 43/46X2,6,2790,36,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713363,INV.SPRT HOM UOXY ASS 43/46 X3,8,4190,32,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713366,MI-CH HOM.UCOL ASS NR 39/42 X3,10,5290,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713367,MI-CH HOM.UCOL ASS NR 43/46 X3,10,5290,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713368,MI-CH HOM UCOL ASS MRN39/42 X3,10,5290,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713369,MI-CH HOM.UCOL ASS MRN43/46 X3,10,5290,30,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713469,MI-CH SPORT HOM.UOXY NR 39/42 X3,5,5890,15,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,HOMME,100713470,MI-CH SPORT HOM.UOXY NR 43/46 X3,5,5890,15,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,SPORT,100598246,CHO7 INV SPORT FEM 39/41 UOXY MDD,4,4750,18,40,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,SPORT,100670619,MI CHO7*3 SPORT HOM.UOXY BLC 39/42,10,5890,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSETTE,SPORT,100670620,MI CHO7*3 SPORT HOM.UOXY BLC 43/46,10,5890,10,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FEMME,100510465,TONGS FEM UCOL MARINE T40 7377910 U,1,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FEMME,100510467,TONGS FEM UCOL MARINE T39 7377890 U,1,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FEMME,100510630,TONGS FEM UCOL T36 MARINE 7377830 U,1,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FEMME,100651234,TONGS FEM U.COL T38 MARINE  7377870,3,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FEMME,100651235,TONGS FEM U.COL T39 MARINE  7377890,3,3150,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100510453,TONGS HOM UCOL MARINE T41 7378550 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100510650,TONGS HOM UCOL MARINE T40 7378450 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539361,TONGS FIL UCOL T28 FUCHSIA 7379570,1,2250,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539364,TONGS FIL UCOL T32 FUCHSIA 7379671,1,2250,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539365,TONGS FIL UCOL T30 FUCHSIA 7379630,1,2250,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539366,TONGS GAR UCOL T35 MRN 7378930 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539367,TONGS GAR UCOL T36 MRN 7378970 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539368,TONGS GAR UCOL T39 MRN 7379030 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539369,TONGS GAR UCOL T38 MRN 7379011 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539370,TONGS GAR UCOL T37 MRN 7378990 U,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539396,TONGS GAR UCOL T28 MARINE 7379230,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100539397,TONGS GAR UCOL T34 MARINE 7379371,1,2500,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100574156,MULES D'EAU UESS 40 BC 3674853 MDD,3,6950,1,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100574165,MULES D'EAU FEM UESS 40 MRN 3675073,3,6950,1,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100574168,MULES D'EAU FEM UESS 38 MRN 3675032,3,6950,1,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100574170,MULES D'EAU FEM UESS 39 MRN 3675051,3,6950,1,0,,,,,,,
U ENSEIGNE MDD,400,219,100670622,TORCHON*3 50X70CM U.MAI BL  1543256,6,6890,0,0,,,,,,,
DUMAS,LINGE DE MAISON,OREILLER ET TRAVERSIN,100138580,OREIL ANTI TRANSP.60*60 10152500 50,20,11900,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100574189,MULES D'EAU FEM UESS 39 BC 3674830,3,6550,1,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100651280,TONG ADLT.UNI MBLC MR 40/41 2651234,3,3200,0,0,,,,,,,
U ENSEIGNE MDD,CHAUSSURE,FLIP FLOP,100651281,TONG ADLT UNI MBLC MR 42/43 2651257,3,3200,0,0,,,,,,,
